,Title,Event start,Event end,Category 1,Category 2,Location,coords
2009,Wedding Ceremony,2015-01-31,2015-02-01,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2010,Wedding Ceremony,2015-01-31,2015-02-01,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2011,Wedding Ceremony,2015-02-01,2015-02-02,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2012,Wedding Ceremony,2015-02-06,2015-02-07,Wedding,,Queen Victoria Gardens,"-37.821972450000004, 144.97172632643083"
2013,Wedding Ceremony,2015-02-06,2015-02-07,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2014,Wedding Ceremony,2015-02-06,2015-02-07,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2015,Wedding Ceremony,2015-02-07,2015-02-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2016,Wedding Ceremony,2015-02-07,2015-02-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2017,Wedding Ceremony,2015-02-07,2015-02-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2018,Wedding Ceremony,2015-02-07,2015-02-08,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2019,Wedding Ceremony,2015-02-07,2015-02-08,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2020,Wedding Ceremony,2015-02-07,2015-02-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2021,Wedding Ceremony,2015-02-07,2015-02-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2022,Wedding Ceremony,2015-02-08,2015-02-09,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2023,Wedding Ceremony,2015-02-09,2015-02-10,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2024,Wedding Ceremony,2015-02-13,2015-02-14,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2025,Wedding Ceremony,2015-02-14,2015-02-15,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2026,Wedding Ceremony,2015-02-15,2015-02-16,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2027,Wedding Ceremony,2015-02-20,2015-02-21,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2028,Wedding Ceremony,2015-02-20,2015-02-21,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2029,Wedding Ceremony,2015-02-21,2015-02-22,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2030,Wedding Ceremony,2015-02-21,2015-02-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2031,Wedding Ceremony,2015-02-21,2015-02-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2032,Wedding Ceremony,2015-02-21,2015-02-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2033,Wedding Ceremony,2015-02-22,2015-02-23,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2034,Wedding Ceremony,2015-02-22,2015-02-23,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2035,Wedding Ceremony,2015-02-22,2015-02-23,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2036,Wedding Ceremony,2015-02-28,2015-03-01,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2037,Wedding Ceremony,2015-02-28,2015-03-01,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2038,Wedding Ceremony,2015-02-28,2015-03-01,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2039,Wedding Ceremony,2015-02-28,2015-03-01,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2040,Wedding Ceremony,2015-02-28,2015-03-01,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2041,Wedding Ceremony,2015-03-01,2015-03-02,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2042,Wedding Ceremony,2015-03-07,2015-03-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2043,Wedding Ceremony,2015-03-07,2015-03-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2044,Wedding Ceremony,2015-03-07,2015-03-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2045,Wedding Ceremony,2015-03-07,2015-03-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2046,Wedding Ceremony,2015-03-07,2015-03-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2047,Wedding Ceremony,2015-03-07,2015-03-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
