Title,Event start,Event end,Category 1,Category 2,Location
The George Megalogenis Project,2014/08/27,2014/08/27,Filming - TV Series,,"Bridges, Promotional Sites"
Winners & Losers,2014/09/02,2014/09/02,Filming - TV Series,,Promotional Sites
Nowhere Boys Series 2,2014/09/10,2014/09/11,Filming - TV Series,,Inner Suburb Locations
Friday Night Crack Up,2014/09/23,2014/09/23,Filming - TV Series,,City Square
Winners & Losers Series 4,2014/09/30,2014/09/30,Filming - TV Series,,Inner Suburb Locations
Winners & Losers Series 4,2014/10/08,2014/10/08,Filming - TV Series,,Promotional Sites
Miss Fisher Murder Mysteries Series 3,2014/10/14,2014/10/14,Filming - TV Series,,"Royal Park, Inner Suburb Locations"
Australia's Next Top Model,2014/10/17,2014/10/17,Filming - TV Series,,Hosier Lane
Winners & Losers,2014/10/22,2014/10/22,Filming - TV Series,,Inner Suburb Locations
Miss Fisher Murder Mysteries - Series 3,2014/10/22,2014/10/24,Filming - TV Series,,Exhibition Street
Miss Fisher Murder Mysteries Series 3,2014/11/03,2014/11/04,Filming - TV Series,,Swanston Street
Winners & Losers Series 4,2014/11/12,2014/11/12,Filming - TV Series,,"Promotional Sites, Roads / Public Access Spaces"
Miss Fisher Murder Mysteries Series 3,2014/11/24,2014/11/24,Filming - TV Series,,Inner Suburb Locations
The Block,2014/12/11,2014/12/11,Filming - TV Series,,Batman Park
"I, Supermodel",2015/01/07,2015/01/07,Filming - TV Series,,Chinatown Plaza - see notes.
Childhoods End,2015/01/09,2015/01/09,Filming - TV Series,,Inner Suburb Locations
Childhoods End,2015/01/10,2015/01/10,Filming - TV Series,,"Exhibition Street, Little Collins Street, Russell Street"
Childhoods End,2015/01/10,2015/01/11,Filming - TV Series,,"Alexandra Gardens, AG - Riverslide Skate Park"
Childhoods End,2015/01/17,2015/01/17,Filming - TV Series,,Promotional Sites
Childhoods End,2015/02/11,2015/02/11,Filming - TV Series,,Inner Suburb Locations
Childhoods End,2015/02/12,2015/02/12,Filming - TV Series,,Fawkner Park
Childhoods End,2015/02/13,2015/02/13,Filming - TV Series,,Swanston Street
Masterchef Ep39,2015/02/25,2015/02/25,Filming - TV Series,,Spring Street
Childhoods End,2015/02/25,2015/02/27,Filming - TV Series,,Carlton Gardens
Childhoods End,2015/03/03,2015/03/05,Filming - TV Series,,Carlton Gardens
Molly,2015/03/11,2015/03/11,Filming - TV Series,,Inner Suburb Locations
Molly,2015/03/13,2015/03/13,Filming - TV Series,,Inner Suburb Locations
