Title,Event start,Event end,Category 1,Category 2,Location
"Unity For Purpose, A Run-AthonFor Education",2014/09/28,2014/09/28,Public Event - Run Walk,,Kings Domain
Le Tour De La Tan,2015/04/30,2015/04/30,Public Event - Run Walk,,Kings Domain
Cancer Council Vic Seven ParksWalk,2014/10/04,2014/10/05,Public Event - Run Walk,,"Alexandra Gardens, Carlton Gardens, Flagstaff Gardens, Kings Domain, Princes Park , Royal Park, Treasury Gardens, Parks"
Melbourne Marathon 2014,2014/10/10,2014/10/13,Public Event - Run Walk,,"Alexandra Gardens, Birrarung Marr, Kings Domain, Tom's Block, Queen Victoria Gardens, Elizabeth Street, Flinders Street, Swanston Street, St Kilda Road, Bridges, Southbank Promenade, Inner Suburb Locations, Flinders St Station, Southbank Spillway , Evan Walker Bridge"
Legs For Eggs 2014,2014/10/11,2014/10/11,Public Event - Run Walk,,"Promotional Sites, Parks, All Other Spaces, Harbour Esplanade"
Dyslexia Empowerment WeekWalk,2014/10/19,2014/10/19,Public Event - Run Walk,,Birrarung Marr
Greek Orthodox Annual Walkathon,2014/10/19,2014/10/19,Public Event - Run Walk,,"Kings Domain, Queen Victoria Gardens"
Fit Challenge,2014/10/25,2014/10/25,Public Event - Run Walk,,Kings Domain
Great Strides 2014,2014/10/26,2014/10/26,Public Event - Run Walk,,"Kings Domain, Tom's Block"
Run For Palestine 2014,2014/11/09,2014/11/09,Public Event - Run Walk,,Kings Domain
The Bloody Long Walk,2014/11/09,2014/11/09,Public Event - Run Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Bridges, Southbank Promenade, Inner Suburb Locations, Queensbridge Square , Southbank Spillway"
The Sunday Age City2sea 2014,2014/11/16,2014/11/16,Public Event - Run Walk,,"Alexandra Gardens, Kings Domain, Tom's Block, Queen Victoria Gardens, Flinders Street, Swanston Street, St Kilda Road, Bridges, Inner Suburb Locations"
Run For Change,2014/11/30,2014/11/30,Public Event - Run Walk,,Kings Domain
Melbourne CBD Relay For Life,2014/12/05,2014/12/07,Public Event - Run Walk,,Flagstaff Gardens
Tan Time Trials 2015,2015/01/03,2015/07/04,Public Event - Run Walk,,Kings Domain
Carlton Classic Marathon,2015/02/08,2015/02/08,Public Event - Run Walk,,Princes Park
Collingwood FC Family FunRun/Walk 2015,2015/02/14,2015/02/14,Public Event - Run Walk,,Kings Domain
We Can Walk It Out 2015,2015/02/15,2015/02/15,Public Event - Run Walk,,Kings Domain
Melanoma March 2015,2015/02/22,2015/02/22,Public Event - Run Walk,,Princes Park
Weekend To End Women's Cancers 2015,2015/02/27,2015/02/28,Public Event - Run Walk,,"Fawkner Park, Treasury Gardens"
March Against Melanoma 2015,2015/03/01,2015/03/01,Public Event - Run Walk,,Kings Domain
Walk To Paradise,2015/03/01,2015/03/01,Public Event - Run Walk,,Princes Park
65km For Cystic Fibrosis 2015,2015/03/13,2015/03/14,Public Event - Run Walk,,"Princes Park , Royal Park"
MFWF: Breakfast Around TheTan-Also,2015/03/14,2015/03/15,Public Event - Run Walk,,"Kings Domain, Tom's Block"
Private Epworth Run For Your Life FunRun,2015/03/15,2015/03/15,Public Event - Run Walk,,Princes Park
2015 Herald Sun/citylink Run ForThe Kids,2015/03/19,2015/03/23,Public Event - Run Walk,,"Alexandra Gardens, Kings Domain, Tom's Block, Queen Victoria Gardens, St Kilda Road, Bridges, Southbank Promenade, Flinders St Station, Southern Cross Station, Queensbridge Square , Southbank Spillway , Evan Walker Bridge, Promotional Sites, All Other Spaces, Harbour Esplanade"
Royal Walk & Fun Run,2015/03/29,2015/03/29,Public Event - Run Walk,,Princes Park
Irabina Super Hero Fun Run,2015/03/29,2015/03/29,Public Event - Run Walk,,Kings Domain
Active Melbourne Corporate Cup,2015/04/02,2015/07/09,Public Event - Run Walk,,Kings Domain
Tour of Duty 2015,2015/04/12,2015/04/12,Public Event - Run Walk,,"Kings Domain, Tom's Block, Shrine Reserve, St Kilda Road"
Sri Chinmoy Princes Park 15km Run,2015/04/26,2015/04/26,Public Event - Run Walk,,Princes Park
Focus On Syria Fun Run,2015/04/26,2015/04/26,Public Event - Run Walk,,Kings Domain
Put Your Foot Down Walk 2015,2015/05/03,2015/05/03,Public Event - Run Walk,,"Alexandra Gardens, Birrarung Marr, Bridges, Southbank Promenade, Queensbridge Square , Southbank Spillway"
Ticked Off Walk For Lyme,2015/05/03,2015/05/03,Public Event - Run Walk,,Princes Park
Wings For Life World Run,2015/05/03,2015/05/04,Public Event - Run Walk,,"Inner Suburb Locations, Promotional Sites"
Mother's Day Classic 2015,2015/05/04,2015/05/13,Public Event - Run Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Birrarung Marr, BM Birrarung Marr, St Kilda Road"
The Kids Foundation Charity Walk,2015/05/09,2015/05/09,Public Event - Run Walk,,Kings Domain
St Vincent's Scrubs Run,2015/05/23,2015/05/24,Public Event - Run Walk,,Princes Park
Private Frank Dyson Memorial Relay2015,2015/06/20,2015/06/20,Public Event - Run Walk,,Kings Domain
Run Melbourne 2015,2015/07/19,2015/07/29,Public Event - Run Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Birrarung Marr, Kings Domain, Tom's Block, Queen Victoria Gardens, Elizabeth Street, Exhibition Street, Flinders Street, Queen Street, Russell Street, Spring Street, Swanston Street, St Kilda Road, Bridges, Southbank Promenade, Inner Suburb Locations, Flinders St Station, Queensbridge Square , Southbank Spillway , Evan Walker Bridge"
Victorian Road Runners Tan TimeTrials,2015/08/01,2015/12/31,Public Event - Run Walk,,Kings Domain
Tan Ultra Running Festival 2015,2015/08/09,2015/08/09,Public Event - Run Walk,,Kings Domain
Victorian Road Runners HalfMarathon,2015/08/16,2015/08/16,Public Event - Run Walk,,Princes Park
Parkinson's Victoria Walk In ThePark 2015,2015/08/30,2015/08/30,Public Event - Run Walk,,"Alexandra Gardens, Birrarung Marr, Swanston Street, Bridges"
The Bloody Long Walk,2015/09/06,2015/09/06,Public Event - Run Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Bridges, Southbank Promenade, Inner Suburb Locations, Queensbridge Square , Southbank Spillway"
Walk 4 William,2015/09/12,2015/09/12,Public Event - Run Walk,,Kings Domain
Connor's Run 2015,2015/09/12,2015/09/14,Public Event - Run Walk,,"Alexandra Gardens, Queensbridge Square , Southbank Spillway , Evan Walker Bridge"
Big Red Kidney Walk,2015/09/13,2015/09/13,Public Event - Run Walk,,Kings Domain
Wedding Ceremony,2014/11/22,2014/11/22,Wedding,,Fitzroy Gardens
Athletics Victoria Tan Relays 2015,2015/09/19,2015/09/19,Public Event - Run Walk,,Kings Domain
Spirit Of Wipro Run,2015/09/20,2015/09/20,Public Event - Run Walk,,Fawkner Park
Spring Into Shape Series 2015Race 1 of 3,2015/09/27,2015/09/27,Public Event - Run Walk,,"Alexandra Gardens, Kings Domain, Southbank Promenade, Queensbridge Square , Southbank Spillway"
Step Up For Down Syndrome,2015/10/11,2015/10/11,Public Event - Run Walk,,Princes Park
Pace The Tan & Race The Tan,2015/10/14,2015/11/25,Public Event - Run Walk,,Kings Domain
Nab Relay For Life,2015/10/16,2015/10/18,Public Event - Run Walk,,Princes Park
Melbourne Marathon 2015,2015/10/17,2015/10/18,Public Event - Run Walk,,"Alexandra Gardens, Birrarung Marr, Flagstaff Gardens, Kings Domain, Tom's Block, Queen Victoria Gardens, Flinders St Station, Southbank Spillway , Evan Walker Bridge"
Spring Into Shape Series 2015Race 2 of 3,2015/10/25,2015/10/25,Public Event - Run Walk,,"Kings Domain, Bridges, Southbank Promenade, Northbank Promenade, Queensbridge Square , Southbank Spillway , Evan Walker Bridge"
Great Strides 2015,2015/11/08,2015/11/08,Public Event - Run Walk,,Tom's Block
Run For Palestine 2015,2015/11/08,2015/11/08,Public Event - Run Walk,,Kings Domain
Remembrance Day 100kmMemorial Run,2015/11/10,2015/11/11,Public Event - Run Walk,,"Kings Domain, Tom's Block"
The Sunday Age City2seaPresented By Westpac,2015/11/14,2015/11/15,Public Event - Run Walk,,"Alexandra Gardens, Kings Domain, Tom's Block, Queen Victoria Gardens, Flinders Street, Swanston Street, St Kilda Road, Bridges, Inner Suburb Locations"
Private St Verena Charity Mission FunRun,2015/11/14,2015/11/14,Public Event - Run Walk,,Princes Park
Eureka Climb 2015,2015/11/14,2015/11/15,Public Event - Run Walk,,"Inner Suburb Locations, Southbank Spillway"
Walk To D-feet Mnd,2015/11/15,2015/11/15,Public Event - Run Walk,,Princes Park
Human Walking Program #3,2015/11/20,2015/11/20,Public Event - Run Walk,,Flagstaff Gardens
The Fit Challenge 2015,2015/11/21,2015/11/21,Public Event - Run Walk,,Kings Domain
Spring Into Shape Series 2015Race 3 of 3,2015/11/22,2015/11/22,Public Event - Run Walk,,"Alexandra Gardens, Kings Domain, Southbank Promenade, Queensbridge Square , Southbank Spillway"
MCCCC Fun Run/walk,2015/11/22,2015/11/22,Public Event - Run Walk,,Princes Park
Legs Out For Lymphoma,2015/11/22,2015/11/22,Public Event - Run Walk,,"Alexandra Gardens, Southbank Promenade, Southbank Spillway"
Get Tanned,2015/11/28,2015/11/28,Public Event - Run Walk,,Kings Domain
Australian 50km Road WalkingChampionships,2015/12/13,2015/12/13,Public Event - Run Walk,,Fawkner Park
Nike Run Club,2016/01/21,2016/02/25,Public Event - Run Walk,,Kings Domain
Sunset Series Race 1,2016/02/03,2016/02/03,Public Event - Run Walk,,"Royal Park, RP - Lawn 6_Brens Cricket Nets"
Sunset Series Race 2,2016/02/17,2016/02/17,Public Event - Run Walk,,Princes Park
Go The Tan,2016/02/20,2016/02/20,Public Event - Run Walk,,Kings Domain
We Can Walk It Out 2016,2016/02/28,2016/02/28,Public Event - Run Walk,,Kings Domain
Sunset Series Race 3,2016/03/02,2016/03/02,Public Event - Run Walk,,"Kings Domain, Tom's Block, Princes Park"
Tan Time Trial,2016/03/05,2017/02/04,Public Event - Run Walk,,Kings Domain
The Royal Walk and Fun Run 2016,2016/03/06,2016/03/06,Public Event - Run Walk,,"Princes Park , Inner Suburb Locations"
Melanoma March,2016/03/06,2016/03/06,Public Event - Run Walk,,Kings Domain
Private Mortgage Choice CharityChallenge,2016/03/11,2016/03/11,Public Event - Run Walk,,Princes Park
Herald Sun CityLink Run for theKids,2016/03/16,2016/03/22,Public Event - Run Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Kings Domain, Tom's Block, Queen Victoria Gardens, Flinders Street, Swanston Street, St Kilda Road, Bridges, Southbank Promenade, Inner Suburb Locations, Flinders St Station, Queensbridge Square , Southbank Spillway , Evan Walker Bridge, Promotional Sites, All Other Spaces, Harbour Esplanade, Roads / Public Access Spaces"
65km For Cystic Fibrosis,2016/03/18,2016/03/19,Public Event - Run Walk,,Princes Park
Irabina Superhero Fun Run 2016,2016/04/03,2016/04/03,Public Event - Run Walk,,Kings Domain
Weekend To End Women'sCancers,2016/04/15,2016/04/16,Public Event - Run Walk,,"Carlton Gardens, Fawkner Park, Fitzroy Gardens, Treasury Gardens, Other Park Locations, Alexandra Ave"
St Vincent's Scrub Run 2016,2016/04/16,2016/04/17,Public Event - Run Walk,,Princes Park
Sri Chinmoy Princes Park 15kmRun,2016/04/23,2016/04/24,Public Event - Run Walk,,"Princes Park , Royal Park, RP - Poplar Cricket Nets (1), Inner Suburb Locations"
Brainlink Family Fun Day,2016/04/30,2016/04/30,Public Event - Run Walk,,"Kings Domain, Tom's Block, St Kilda Road"
Put Your Foot Down WalkMelbourne 2016,2016/05/01,2016/05/01,Public Event - Run Walk,,"Alexandra Gardens, Birrarung Marr, Bridges, Southbank Promenade, Queensbridge Square"
Mother's Day Classic,2016/05/02,2016/05/11,Public Event - Run Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Kings Domain, St Kilda Road"
Pace the Tan & Race the Tan,2016/05/17,2016/06/21,Public Event - Run Walk,,Kings Domain
Move In May,2016/05/21,2016/05/22,Public Event - Run Walk,,"Kings Domain, Tom's Block"
Princes Park Urban RunningFestival,2016/06/17,2016/06/19,Public Event - Run Walk,,Princes Park
Big Brothers Big Sisters Fun Run,2016/06/19,2016/06/19,Public Event - Run Walk,,Kings Domain
Sri Chinmoy Winter RunningFestival,2016/07/17,2016/07/17,Public Event - Run Walk,,Princes Park
Run Melbourne,2016/07/17,2016/07/27,Public Event - Run Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Birrarung Marr, Kings Domain, Tom's Block, Queen Victoria Gardens, Elizabeth Street, Exhibition Street, Flinders Street, Queen Street, Russell Street, Spring Street, Swanston Street, St Kilda Road, Bridges, Southbank Promenade, Inner Suburb Locations, Flinders St Station, Queensbridge Square , Southbank Spillway , Evan Walker Bridge, Promotional Sites, Parks, All Other Spaces, Roads / Public Access Spaces"
Tan Ultra,2016/08/14,2016/08/14,Public Event - Run Walk,,Kings Domain
Vrr Princes Park Fun Run,2016/08/21,2016/08/21,Public Event - Run Walk,,Princes Park
Parkinson's Victoria Walk In ThePark 2016,2016/08/28,2016/08/28,Public Event - Run Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Birrarung Marr, Swanston Street, Bridges"
Connor's Run 2016,2016/09/10,2016/09/12,Public Event - Run Walk,,"Alexandra Gardens, Southbank Promenade, Queensbridge Square , Southbank Spillway , Evan Walker Bridge"
Public Event - Out Of The Shadows SuicideAwareness Walk,2016/09/11,2016/09/11,Public Event - Run Walk,,Birrarung Marr
Fcg Run,2016/09/11,2016/09/11,Public Event - Run Walk,,Fawkner Park
Xcr Tan Relays,2016/09/17,2016/09/17,Public Event - Run Walk,,Kings Domain
Pace The Tan & Race The Tan,2016/09/20,2016/11/08,Public Event - Run Walk,,Kings Domain
Spirit Of Wipro Run,2016/09/25,2016/09/26,Public Event - Run Walk,,Fawkner Park
Run As One,2016/10/08,2016/10/08,Public Event - Run Walk,,"Kings Domain, Tom's Block"
Step Up For Down Syndrome,2016/10/09,2016/10/09,Public Event - Run Walk,,Princes Park
Stride The Divide,2016/10/14,2016/10/14,Public Event - Run Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Birrarung Marr"
Melbourne Marathon 2016,2016/10/16,2016/10/16,Public Event - Run Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Birrarung Marr, Kings Domain, Tom's Block, Queen Victoria Gardens, Flinders Lane, Swanston Street, St Kilda Road, Inner Suburb Locations, Flinders St Station, Southbank Spillway , Evan Walker Bridge"
Nab Relay For Life,2016/10/21,2016/10/23,Public Event - Run Walk,,Princes Park
Bloody Long Walk,2016/10/22,2016/10/23,Public Event - Run Walk,,"Alexandra Gardens, AG - Riverslide Skate Park, Bridges, Southbank Promenade, Inner Suburb Locations, Queensbridge Square , Southbank Spillway , Promotional Sites, Parks, All Other Spaces, Roads / Public Access Spaces"
XRace Melbourne,2016/10/29,2016/10/30,Public Event - Run Walk,,"Alexandra Gardens, Birrarung Marr, BM Birrarung Marr, Other Park Locations, Bridges"
Great Strides 2016,2016/10/30,2016/10/30,Public Event - Run Walk,,"Kings Domain, Tom's Block"
Run For Palestine,2016/11/06,2016/11/06,Public Event - Run Walk,,"Kings Domain, Tom's Block"
Walk To D'feet Mnd,2016/11/13,2016/11/13,Public Event - Run Walk,,Princes Park
Legs Out For Lymphoma,2016/11/19,2016/11/19,Public Event - Run Walk,,"Alexandra Gardens, Swanston Street, St Kilda Road, Bridges"
MCCCC Fun Run/walk,2016/11/20,2016/11/20,Public Event - Run Walk,,Princes Park
Sri Chinmoy Tan Team Relays,2016/11/27,2016/11/27,Public Event - Run Walk,,Kings Domain
Nike Run Club,2016/12/05,2017/02/27,Public Event - Run Walk,,"Princes Park , Queensbridge Square"
Australian 50km Race WalkingChampionships,2016/12/11,2016/12/11,Public Event - Run Walk,,Fawkner Park
Vrr New Year's Eve Fun Run,2016/12/31,2016/12/31,Public Event - Run Walk,,Kings Domain
Pride Run/walk,2017/01/22,2017/01/22,Public Event - Run Walk,,Kings Domain
Sunset Series Race 1,2017/02/01,2017/02/01,Public Event - Run Walk,,"Royal Park, RP - Lawn 6_Brens Cricket Nets"
Sunset Series Race 2,2017/02/15,2017/02/15,Public Event - Run Walk,,Princes Park
Keep On Running,2017/02/22,2017/02/22,Public Event - Run Walk,,Fawkner Park
We Can Walk It Out,2017/02/26,2017/02/26,Public Event - Run Walk,,Kings Domain
Sunset Series Race 3,2017/03/01,2017/03/01,Public Event - Run Walk,,"Kings Domain, Tom's Block"
Tan Time Trial,2017/03/04,2018/02/03,Public Event - Run Walk,,Kings Domain
Melanoma March 2017,2017/03/05,2017/03/05,Public Event - Run Walk,,"Kings Domain, Tom's Block"
Arts Centre Fun Run,2017/03/09,2017/03/14,Public Event - Run Walk,,St Kilda Road
Greyhound Adoption Program 21stB,2017/03/17,2017/03/17,Public Event - Run Walk,,Flagstaff Gardens
65km For Cystic Fibrosis,2017/03/17,2017/03/18,Public Event - Run Walk,,Princes Park
Walk For Brainlink,2017/03/25,2017/03/25,Public Event - Run Walk,,"Kings Domain, Tom's Block, St Kilda Road"
Greek National Day,2017/03/26,2017/03/26,Public Event - Run Walk,,"Tom's Block, St Kilda Road"
Princes Park Running Festival,2017/03/31,2017/04/02,Public Event - Run Walk,,Princes Park
Midsumma Carnival & T Dance,2014/01/06,2014/01/16,Public Event - Ticketed,,"Alexandra Gardens, AG - Riverslide Skate Park, Birrarung Marr, BM Birrarung Marr"
The National (SMMB),2014/02/07,2014/02/11,Public Event - Ticketed,,Kings Domain
MFWF The Immersery,2014/02/18,2014/03/25,Public Event - Ticketed,,"Alexandra Park, Queensbridge Square"
White Night 2014,2014/02/19,2014/02/24,Public Event - Ticketed,,"Alexandra Gardens, AG - Riverslide Skate Park, Birrarung Marr, Kings Domain, Queen Victoria Gardens, Bourke Street, Collins Street, Elizabeth Street, Flinders Lane, Flinders Street, La Trobe Street, Little Bourke Street, Little Collins Street, Little Lonsdale Street, Lonsdale Street, Swanston Street, St Kilda Road, Bridges, Inner Suburb Locations, Campbell Arcade, City Square, Queensbridge Square , Southbank Spillway"
Melbourne Craft Beer & FoodFestival,2014/02/28,2014/03/03,Public Event - Ticketed,,Flagstaff Gardens
Telstra Ballet In The Bowl (SMMB),2014/03/06,2014/03/08,Public Event - Ticketed,,Kings Domain
Melbourne Fashion Festival,2014/03/13,2014/03/26,Public Event - Ticketed,,Promotional Sites
Festival Of Live Art,2014/03/22,2014/03/22,Public Event - Ticketed,,Inner Suburb Locations
"Burgers, BBQ, Beer & Beats",2014/03/30,2014/03/30,Public Event - Ticketed,,Fulham Place
Dave Matthews Band (SMMB),2014/04/15,2014/04/18,Public Event - Ticketed,,Kings Domain
Cherry Rock 2014,2014/05/25,2014/05/26,Public Event - Ticketed,,"ACDC Lane, Duckboard Place"
Circus Oz 2014,2014/05/29,2014/07/20,Public Event - Ticketed,,Birrarung Marr
The Long Walk 10 YearAnniversary,2014/05/31,2014/05/31,Public Event - Ticketed,,"Alexandra Gardens, Birrarung Marr, BM, Kings Domain, Tom's Block, Queen Victoria Gardens, Bridges"
Melb International Film Festival 2014Opening Night,2014/07/31,2014/08/01,Public Event - Ticketed,,"St Kilda Road, Southbank Promenade, Inner Suburb Locations"
Melbourne Spring Fashion Week,2014/08/13,2014/09/17,Public Event - Ticketed,,City Square
Fred Hates Fashion,2014/08/30,2014/08/31,Public Event - Ticketed,,"Flinders Street, Katherine Place (Green Laneway), Mercantile Place"
Corporate AFL Centre Square 2014,2014/09/03,2014/10/03,Public Event - Ticketed,,Birrarung Marr
Melbourne Festival 2014,2014/09/15,2014/11/14,Public Event - Ticketed,,Alexandra Gardens
Stepup! For Down Syndrome,2014/10/12,2014/10/12,Public Event - Ticketed,,Princes Park
Oktoberfest In The Gardens,2014/10/21,2014/10/28,Public Event - Ticketed,,Birrarung Marr
Night Noodle Markets 2014,2014/11/10,2014/12/03,Public Event - Ticketed,,Birrarung Marr
Festival of Italian Motorcycles 2014,2014/11/16,2014/11/16,Public Event - Ticketed,,Piazza Italia
Progressive Laneway Lunch,2014/11/29,2014/11/30,Public Event - Ticketed,,Katherine Place (Green Laneway)
Vision Australia's Carols ByCandlelight 2014,2014/12/16,2014/12/26,Public Event - Ticketed,,"Kings Domain, St Kilda Road"
Slidestreet Melbourne,2015/01/23,2015/01/25,Public Event - Ticketed,,"Fitzroy Gardens, Kings Domain, Tom's Block, Treasury Gardens, St Kilda Road, Inner Suburb Locations"
Sunset Series Race 1,2015/02/04,2015/02/05,Public Event - Ticketed,,"Royal Park, RP - Lawn 6_Brens Cricket Nets"
Bootcamp With Kayla Itsines,2015/02/13,2015/02/13,Public Event - Ticketed,,"Flagstaff Gardens, Tom's Block"
Slide The Streets,2015/02/15,2015/03/09,Public Event - Ticketed,,"Fitzroy Gardens, Treasury Gardens, Inner Suburb Locations, Promotional Sites, Harbour Esplanade, Roads / Public Access Spaces"
Sunset Series Race 2,2015/02/18,2015/02/19,Public Event - Ticketed,,"Kings Domain, Tom's Block, Princes Park"
Bank Of Melbourne World's Longest Lunch,2015/02/26,2015/02/27,Public Event - Ticketed,,Fitzroy Gardens
Mifgs 2015,2015/02/27,2015/05/10,Public Event - Ticketed,,Carlton Gardens
Go The Tan 2015,2015/02/28,2015/02/28,Public Event - Ticketed,,Kings Domain
Southgate Food & Wine Fiesta(2015 Mfwf),2015/02/28,2015/03/01,Public Event - Ticketed,,Southbank Promenade
Sunset Series Race 3,2015/03/04,2015/03/05,Public Event - Ticketed,,"Kings Domain, Tom's Block, Princes Park"
Red Spice Road Laneway,2015/03/08,2015/03/08,Public Event - Ticketed,,McKillop Street
Virgin Australia Melbourne FashionFestival,2015/03/10,2015/03/26,Public Event - Ticketed,,"Promotional Sites, All Other Spaces"
Melbourne International ComedyFestival 2015,2015/03/23,2015/04/22,Public Event - Ticketed,,"Swanston Street, City Square"
AFL Finals Centre Square,2015/09/11,2015/10/09,Public Event - Ticketed,,Birrarung Marr
Melbourne Festival Hub,2015/09/14,2015/11/13,Public Event - Ticketed,,Alexandra Gardens
Oktoberfest In The Gardens,2015/10/19,2015/10/27,Public Event - Ticketed,,Birrarung Marr
New Orleans Street Party,2015/11/20,2015/11/21,Public Event - Ticketed,,Inner Suburb Locations
Slide Melbourne,2015/12/06,2015/12/06,Public Event - Ticketed,,"Fitzroy Gardens, Treasury Gardens, Inner Suburb Locations"
Private Little Operations With MargaretTrail,2015/12/17,2016/03/22,Public Event - Ticketed,,Fitzroy Gardens
Sounds Like Summer,2016/01/01,2016/01/01,Public Event - Ticketed,,Bourke Street
Slide The City,2016/01/09,2016/01/10,Public Event - Ticketed,,"Fitzroy Gardens, Treasury Gardens, Inner Suburb Locations"
Government House Open Day,2016/01/25,2016/01/27,Public Event - Ticketed,,St Kilda Road
Slide Melbourne,2016/02/07,2016/02/07,Public Event - Ticketed,,"Fitzroy Gardens, Treasury Gardens, Inner Suburb Locations"
Fat Tuesday New Orleans MardiGras,2016/02/09,2016/02/10,Public Event - Ticketed,,"Other Park Locations, Piazza Italia"
MIFGS 2016,2016/02/22,2016/03/24,Public Event - Ticketed,,Carlton Gardens
Diner en Blanc,2016/02/27,2016/02/28,Public Event - Ticketed,,"Promotional Sites, All Other Spaces"
Melbourne City Metrogaine,2016/02/27,2016/02/27,Public Event - Ticketed,,Flagstaff Gardens
Salute The Sun Yoga Festival,2016/02/28,2016/02/28,Public Event - Ticketed,,Treasury Gardens
I'll Dine With You,2016/02/29,2016/02/29,Public Event - Ticketed,,City Square
Soul Pose,2016/03/04,2016/03/07,Public Event - Ticketed,,Flagstaff Gardens
Red Spice Road Laneway,2016/03/13,2016/03/13,Public Event - Ticketed,,McKillop Street
Dan O'Connell St Patricks Day,2016/03/17,2016/03/18,Public Event - Ticketed,,"Other Park Locations, Inner Suburb Locations"
Emcc's Family Funday Fundraiser,2016/04/15,2016/04/18,Public Event - Ticketed,,Other Park Locations
Cherry Rock 2016,2016/05/01,2016/05/01,Public Event - Ticketed,,"ACDC Lane, Duckboard Place"
Floral Abundance In The Laneway,2016/05/08,2016/05/08,Public Event - Ticketed,,Driver Lane
Circus Oz 2016,2016/05/26,2016/07/19,Public Event - Ticketed,,Birrarung Marr
Ice Slide,2016/06/20,2016/07/19,Public Event - Ticketed,,Southbank Spillway
MIFF Opening Gala,2016/07/28,2016/07/29,Public Event - Ticketed,,"St Kilda Road, Inner Suburb Locations"
Melbourne Day,2016/08/30,2016/08/30,Public Event - Ticketed,,EP - Lawn 2
Ymca Fathers Day Fun Run,2016/09/03,2016/09/04,Public Event - Ticketed,,"Alexandra Gardens, Kings Domain, Tom's Block, St Kilda Road"
AFL Centre Square,2016/09/08,2016/10/07,Public Event - Ticketed,,Birrarung Marr
Kidney Health Australia,2016/09/11,2016/09/11,Public Event - Ticketed,,Kings Domain
The Sunday Age City2SeaPresented By Westpac,2016/11/19,2016/11/20,Public Event - Ticketed,,"Alexandra Gardens, Fawkner Park, FP - Northern Pavilion East, Fawkner Park, FP - Cordner_T1_T2_T3_F2_Ct3, Fawkner Park, FP - Cricket Nets, Fawkner Park, Kings Domain, Tom's Block, Queen Victoria Gardens, Shrine Reserve, Flinders Street, Swanston Street, St Kilda Road, Bridges, Inner Suburb Locations"
Variety Santa Fun Run,2016/12/09,2016/12/09,Public Event - Ticketed,,"Alexandra Gardens, Kings Domain"
Vision Australia's Carols ByCandlelight,2016/12/19,2016/12/27,Public Event - Ticketed,,"Kings Domain, Tom's Block"
Enter The Void 2017,2017/01/01,2017/01/01,Public Event - Ticketed,,Bourke Street
Park Cinema,2017/02/03,2017/02/25,Public Event - Ticketed,,Parks
Docklands Corporate AndCommunity Cup,2017/02/18,2017/02/18,Public Event - Ticketed,,"Parks, All Other Spaces"
Afl Pre Season Match,2017/02/22,2017/02/28,Public Event - Ticketed,,North Melbourne Recreation Reserve
Diner En Blanc 2017,2017/03/04,2017/03/05,Public Event - Ticketed,,Treasury Gardens
MIFGS 2017,2017/03/06,2017/04/06,Public Event - Ticketed,,"Carlton Gardens, Inner Suburb Locations"
Dan O'Connell St Patricks Day,2017/03/17,2017/03/18,Public Event - Ticketed,,"Other Park Locations, Inner Suburb Locations"
House Of Food And Wine,2017/03/23,2017/04/11,Public Event - Ticketed,,"Little Lonsdale Street, Heape Court"
St Vincent's Scrubs Run,2017/03/25,2017/03/26,Public Event - Ticketed,,Princes Park
2017 Melbourne InternationalComedy Festival,2017/03/26,2017/04/26,Public Event - Ticketed,,"Chinatown Plaza - see notes., Collins Street, Flinders Lane, Russell Street, Swanston Street, Inner Suburb Locations, Cohen Place"
It's A Docklands Dog Pawty!,2017/03/26,2017/03/26,Public Event - Ticketed,,Parks
Worlds Longest Lunch 2017,2017/03/31,2017/03/31,Public Event - Ticketed,,Inner Suburb Locations
Gingerboy 10th Birthday,2017/04/05,2017/04/05,Public Event - Ticketed,,Crossley Street
MoVida Laneway Party,2017/04/08,2017/04/08,Public Event - Ticketed,,"Hosier Lane, Rutledge Lane"
Red Spice Road Laneway 2017,2017/04/09,2017/04/09,Public Event - Ticketed,,McKillop Street
The Women's Ride,2015/04/12,2015/04/12,Public Event - Ticketed,,"Bridges, Promotional Sites, Parks, All Other Spaces, Roads / Public Access Spaces"
The Fit Challenge 2015,2015/04/18,2015/04/18,Public Event - Ticketed,,Kings Domain
Salomon City Trail,2015/04/19,2015/04/19,Public Event - Ticketed,,"Alexandra Gardens, Birrarung Marr, BM Birrarung Marr, Kings Domain, Tom's Block, Bridges"
Cherry Rock 2015,2015/05/10,2015/05/10,Public Event - Ticketed,,"ACDC Lane, Duckboard Place"
Sri Chinmoy Princes Park RunningFestival,2015/07/18,2015/07/19,Public Event - Ticketed,,Princes Park
Sri Chinmoy Tan Track 10km Run,2015/11/29,2015/11/29,Public Event - Ticketed,,Kings Domain
Boney Laneway Party,2016/03/19,2016/03/19,Public Event - Ticketed,,Westwood Place
